cgpa,active_backlogs,skills,placement_season,placement_status
7.69,0,"Java, DSA, SQL",Summer,Placed
8.42,0,"Java, Spring Boot, MySQL",Summer,Placed
7.86,0,"Python, Django, SQL",Autumn,Placed
8.71,0,"C++, DSA, Algorithms",Winter,Placed
7.54,1,"JavaScript, React, Node.js",Summer,Not Placed
8.93,0,"Java, Hibernate, MySQL",Autumn,Placed
7.92,0,"Python, Flask, PostgreSQL",Winter,Placed
8.35,0,"React, Node.js, MongoDB",Summer,Placed
7.68,0,"Java, REST API, AWS",Autumn,Not Placed
8.62,0,"Java, Spring Boot, MySQL",Winter,Placed
7.81,0,"Python, Django, SQL",Summer,Placed
8.87,0,"C++, DSA, Algorithms",Autumn,Placed
7.45,2,"JavaScript, React, Node.js",Winter,Not Placed
8.54,0,"Java, Hibernate, MySQL",Summer,Placed
7.73,0,"Python, Flask, PostgreSQL",Autumn,Not Placed
8.76,0,"React, Node.js, MongoDB",Winter,Placed
8.11,0,"Java, REST API, AWS",Summer,Placed
8.29,0,"Java, Spring Boot, MySQL",Autumn,Placed
7.67,1,"Python, Django, SQL",Winter,Not Placed
8.98,0,"C++, DSA, Algorithms",Summer,Placed
7.89,0,"JavaScript, React, Node.js",Autumn,Placed
8.47,0,"Java, Hibernate, MySQL",Winter,Placed
7.58,0,"Python, Flask, PostgreSQL",Summer,Not Placed
8.69,0,"React, Node.js, MongoDB",Autumn,Placed
8.24,0,"Java, REST API, AWS",Winter,Placed
8.56,0,"Java, Spring Boot, MySQL",Summer,Placed
8.12,0,"Java, Spring Boot, MySQL",Summer,Placed
8.45,0,"Python, SQL, Django",Summer,Placed
7.68,1,"Java, React, MySQL",Autumn,Not Placed
8.76,0,"Python, ML, Flask",Autumn,Placed
8.01,0,"Java, Spring Boot, REST API",Winter,Placed
8.58,0,"React, Node.js, MongoDB",Winter,Not Placed
7.92,0,"Java, MySQL, AWS",Summer,Placed
8.33,0,"Python, FastAPI, SQL",Summer,Placed
8.91,0,"JavaScript, React, Node.js",Autumn,Placed
7.84,1,"Java, JDBC, MySQL",Autumn,Not Placed
8.63,0,"Python, AI, TensorFlow",Winter,Placed
7.56,2,"C++, DSA, SQL",Winter,Not Placed
8.74,0,"Java, Hibernate, Spring Boot",Summer,Placed
8.09,0,"Python, Django, PostgreSQL",Summer,Not Placed
7.47,1,"JavaScript, Express, MongoDB",Autumn,Placed
8.39,0,"Java, Spring, MySQL",Autumn,Placed
7.88,0,"React, JavaScript, REST API",Winter,Not Placed
8.95,0,"Python, ML, Pandas",Winter,Placed
7.73,0,"Java, SQL, Spring Boot",Summer,Not Placed
8.67,0,"AWS, Docker, Java",Summer,Placed
7.61,1,"Python, SQL, Power BI",Autumn,Not Placed
8.28,0,"Java, JPA, MySQL",Autumn,Placed
8.16,0,"Node.js, React, MongoDB",Winter,Placed
8.52,0,"Python, Flask, MySQL",Winter,Not Placed
7.69,0,"Java, DSA, SQL",Summer,Placed
8.42,0,"Java, Spring Boot, MySQL",Summer,Placed
7.86,0,"Python, SQL, Django",Summer,Placed
8.71,0,"React, Node.js, MongoDB",Autumn,Placed
7.54,1,"Java, JDBC, MySQL",Autumn,Not Placed
8.93,0,"Python, ML, Flask",Winter,Placed
7.92,0,"Java, Spring, REST API",Winter,Placed
8.35,0,"Python, Pandas, SQL",Summer,Placed
7.68,0,"C++, DSA, SQL",Summer,Not Placed
8.62,0,"Java, Hibernate, Spring Boot",Autumn,Placed
7.81,0,"JavaScript, React, Node.js",Autumn,Placed
8.87,0,"Python, AI, TensorFlow",Winter,Placed
7.45,2,"Java, MySQL, HTML, CSS",Winter,Not Placed
8.54,0,"AWS, Docker, Java",Summer,Placed
7.73,0,"Python, FastAPI, PostgreSQL",Summer,Not Placed
8.76,0,"Java, JPA, MySQL",Autumn,Placed
8.11,0,"React, JavaScript, REST API",Autumn,Placed
8.29,0,"Python, SQL, Power BI",Winter,Placed
7.67,1,"Java, DSA, SQL",Winter,Not Placed
8.98,0,"Python, ML, Scikit-learn",Summer,Placed
7.89,0,"Node.js, Express, MongoDB",Summer,Placed
8.47,0,"Java, Spring Boot, AWS",Autumn,Placed
7.58,0,"Python, Flask, MySQL",Autumn,Not Placed
8.69,0,"Java, Hibernate, SQL",Winter,Placed
8.24,0,"React, Node.js, PostgreSQL",Winter,Placed
8.56,0,"Python, SQL, Tableau",Summer,Placed
